plot;date;plant;indv;rec;rec_1;rec_2;act_fl;act_st;act_le;act_c;L_act;ant;aphid;switch;no;steps;walk;exp;act_level;left;random;
Nh-04_ext;01.08.2018;Alpha;A;A1;1;0;1;1;1;1;10;kA;kA;kA;0;0;1;0;2;0;0;
Nh-04_ext;01.08.2018;Alpha;B;A2;1;0;1;1;1;1;5;kA;kA;kA;0;0;0;1;2;0;0;
Nh-04_ext;01.08.2018;Alpha;C;A3;1;0;1;0;0;1;2;kA;kA;kA;0;1;0;0;2;0;0;
Nh-04_ext;01.08.2018;Alpha;D;A4;1;0;1;1;1;1;kA;kA;kA;kA;1;0;0;1;1;0;0;
Nh-04_ext;01.08.2018;Alpha;E;A5;1;0;1;0;0;1;kA;kA;kA;kA;0;0;1;0;2;0;0;
Nh-04_ext;01.08.2018;Alpha;F;A6;1;0;1;1;1;0;30;kA;kA;kA;0;0;0;1;2;0;0;
Nh-04_ext;06.08.2018;Beta;A;A107;1;0;1;1;1;1;25;kA;kA;kA;0;1;0;1;2;0;0;
Nh-04_ext;06.08.2018;Beta;B;A108;1;0;1;1;0;1;kA;kA;kA;kA;1;0;1;0;2;1;0;
Nh-04_ext;06.08.2018;Beta;C;A109;1;0;1;1;1;1;15;kA;kA;kA;1;0;1;0;1;0;pollen;
Nh-04_ext;06.08.2018;Beta;D;A110;1;0;1;0;0;1;1;kA;kA;kA;0;1;0;0;2;0;0;
Nh-04_ext;06.08.2018;Beta;E;A111;1;0;1;0;0;1;2;kA;kA;kA;0;1;0;0;1;0;0;
Nh-04_ext;06.08.2018;Beta;F;A112;1;0;1;1;1;0;kA;kA;kA;kA;0;0;0;1;2;1;0;
Nh-04_ext;06.08.2018;Beta;G;A113;1;0;1;1;1;0;45;kA;kA;kA;1;0;0;1;2;0;pollen;
Nh-04_ext;11.08.2018;Ceta;A;C1;1;0;0;0;0;1;1;5;6;1;0;1;0;0;1;0;0;
Nh-04_ext;11.08.2018;Ceta;B;C2;1;0;1;1;0;1;10;0;1;1;0;1;0;0;2;0;didn´t note that a Formica was close to him;
Nh-04_ext;11.08.2018;Ceta;C;C3;1;0;1;1;0;1;5;4;10;1;0;0;1;0;2;0;0;
Nh-04_ext;11.08.2018;Ceta;D;C4;1;0;1;1;0;1;10;1;3;1;0;0;1;0;2;0;0;
Nh-04_ext;11.08.2018;Ceta;E;C5;1;0;1;1;1;1;20;2;6;1;0;1;0;1;2;0;0;
Nh-04_ext;11.08.2018;Ceta;F;C6;1;0;1;0;0;1;0,5;5;6;0;1;1;0;0;2;0;0;
Nh-04_ext;17.08.2018;Ceta;A;D22;1;0;1;1;0;1;5;2;20;1;1;0;1;0;2;0;0;
Nh-04_ext;17.08.2018;Ceta;B;D23;1;0;0;0;0;1;0,5;1;6;0;1;0;0;0;2;0;0;
Nh-04_ext;17.08.2018;Ceta;C;D24;1;0;1;0;0;1;5;2;20;1;0;0;1;0;2;0;0;
Nh-04_ext;17.08.2018;Ceta;D;D26;1;0;0;0;0;1;4;4;5;0;0;0;1;0;3;0;0;
Nh-04_ext;17.08.2018;Ceta;E;D27;1;0;1;0;0;1;6;1;5;0;0;1;1;0;2;1;0;
Nh-04_ext;17.08.2018;Ceta;F;D29;1;0;0;0;0;1;0,5;2;6;0;1;0;0;0;1;0;0;
Nh-04_ext;22.08.2018;Ceta;A;E13;1;0;0;1;1;1;30;2;21;1;0;0;1;1;3;0;0;
Nh-04_ext;22.08.2018;Ceta;B;E14;1;0;0;1;0;1;5;3;8;1;0;0;1;0;3;0;0;
Nh-04_ext;22.08.2018;Ceta;C;E16;1;0;1;1;1;1;10;1;6;1;0;0;1;1;2;0;0;
Nh-04_ext;22.08.2018;Ceta;D;E18;1;0;0;1;1;1;40;2;6;0;1;0;1;0;2;0;0;
Nh-04_ext;22.08.2018;Ceta;E;E20;1;0;0;0;1;1;4;4;30;0;0;1;0;0;3;0;0;
Nh-04;27.08.2018;Delta;A;B84;1;0;1;0;0;1;4;4;6;0;0;0;1;0;3;0;0;
Nh-04;27.08.2018;Delta;B;B85;1;0;0;1;0;1;1;2;7;0;0;1;0;0;2;0;0;
Nh-04;27.08.2018;Delta;C;B87;1;0;1;0;0;1;1;2;8;0;0;1;0;0;2;0;0;
Nh-04;27.08.2018;Delta;D;B89;1;0;1;0;0;1;3;3;10;0;1;0;1;0;2;0;0;
Nh-04;27.08.2018;Delta;E;B91;1;0;1;0;0;1;5;1;10;0;0;1;0;1;2;0;0;
Nl-55;01.08.2018;Alpha;A;A13;0;1;1;0;0;1;3;kA;kA;kA;0;1;0;0;2;0;0;
Nl-55;01.08.2018;Alpha;B;A14;0;1;1;0;0;1;3;kA;kA;kA;0;1;1;0;2;0;0;
Nl-55;01.08.2018;Alpha;C;A15;0;1;1;0;0;1;3;kA;kA;kA;0;1;0;0;2;0;0;
Nl-55;01.08.2018;Alpha;D;A16;0;1;1;1;1;1;12;kA;kA;kA;0;1;0;1;2;0;0;
Nl-55;01.08.2018;Alpha;E;A17;0;1;1;1;1;1;kA;kA;kA;kA;1;0;0;1;2;0;0;
Nl-55;01.08.2018;Alpha;F;A18;0;1;1;1;1;1;kA;kA;kA;kA;0;0;0;1;2;1;0;
Nl-55;06.08.2018;Alpha;A;B1;0;1;1;0;0;1;kA;kA;4;0;1;0;1;0;2;0;0;
Nl-55;06.08.2018;Alpha;B;B2;0;1;1;0;0;1;4;kA;20;0;0;1;1;0;2;0;0;
Nl-55;06.08.2018;Alpha;C;B3;0;1;1;0;0;1;0;kA;4;0;1;0;0;0;2;0;0;
Nl-55;06.08.2018;Alpha;D;B4;0;1;1;0;0;1;4;kA;6;0;0;0;1;0;2;0;0;
Nl-55;06.08.2018;Alpha;E;B5;0;1;1;0;0;1;4;kA;6;0;0;0;1;0;2;0;0;
