plot;date;plant;L;l;surfaceF;surfaceST;N_aphid;time;t0;t1;t2;t3;t4;t5;t6;t7;t8;t9;t10;t11;add changes;avg_inact;avg_walk;avg_tend;tot_ant;tot_exp;
Nh-04_ext;01.08.2018;Alpha;56;36;1;0;37;9h56;7;7;7;7;7;7;6;6;6;5;6;6;0;kA;kA;kA;kA;kA;
Nh-04_ext;01.08.2018;Alpha;56;36;1;0;37;9h58;5;6;6;5;5;5;5;6;5;6;6;6;0;kA;kA;kA;kA;kA;
Nh-04_ext;01.08.2018;Alpha;56;36;1;0;37;10h00;6;6;7;7;7;7;7;7;7;6;6;7;0;kA;kA;kA;kA;kA;
Nh-04_ext;01.08.2018;Alpha;56;36;1;0;37;10h02;7;6;6;6;6;6;6;6;6;6;6;6;0;kA;kA;kA;kA;kA;
Nh-04_ext;01.08.2018;Alpha;56;36;1;0;37;10h04;6;7;6;7;7;6;7;7;7;6;6;6;0;kA;kA;kA;kA;kA;
Nh-04_ext;06.08.2018;Beta;59;81;1;0;48;9h57;9;10;10;11;10;10;11;11;11;11;11;11;0;kA;0;kA;11;0;
Nh-04_ext;06.08.2018;Beta;59;81;1;0;48;9h59;10;10;10;10;10;10;10;10;10;10;10;10;0;kA;0;kA;11;1;
Nh-04_ext;06.08.2018;Beta;59;81;1;0;48;10h01;11;11;10;10;10;10;10;10;10;10;10;10;0;kA;0;kA;11;1;
Nh-04_ext;06.08.2018;Beta;59;81;1;0;48;10h03;10;10;10;10;10;10;10;10;10;10;10;10;0;kA;0;kA;11;1;
Nh-04_ext;06.08.2018;Beta;59;81;1;0;48;10h05;10;10;10;10;10;10;10;10;10;10;10;9;0;kA;0;kA;10;0;
Nh-04_ext;11.08.2018;Ceta;112;78;1;0;59;10h10;20;20;22;23;23;23;22;23;23;23;28;28;0;kA;kA;kA;kA;kA;
Nh-04_ext;11.08.2018;Ceta;112;78;1;0;59;10h12;22;23;24;23;23;24;24;24;23;23;24;24;0;kA;kA;kA;kA;kA;
Nh-04_ext;11.08.2018;Ceta;112;78;1;0;59;10h14;23;23;23;23;23;23;23;23;23;23;24;24;0;kA;kA;kA;kA;kA;
Nh-04_ext;11.08.2018;Ceta;112;78;1;0;59;10h16;23;22;22;21;23;23;24;23;24;24;24;23;0;kA;kA;kA;kA;kA;
Nh-04_ext;11.08.2018;Ceta;112;78;1;0;59;10h18;23;23;22;22;22;22;22;22;22;22;22;22;0;kA;kA;kA;kA;kA;
Nh-04_ext;17.08.2018;Ceta;73;62;1;0;104;8h52;22;22;22;23;23;23;23;23;22;23;22;21;0;0;8;15;30;1;
Nh-04_ext;17.08.2018;Ceta;73;62;1;0;104;9h17;19;19;18;19;19;20;20;20;19;18;17;19;0;0;6;13;30;1;
Nh-04_ext;17.08.2018;Ceta;73;62;1;0;104;9h34;15;15;16;16;16;16;16;16;16;16;15;16;0;0;3;13;30;1;
Nh-04_ext;17.08.2018;Ceta;73;62;1;0;104;9h45;17;17;17;17;17;17;17;17;17;17;17;17;0;0;3;14;30;1;
Nh-04_ext;17.08.2018;Ceta;73;62;1;0;104;9h48;17;17;17;17;16;16;16;16;16;17;17;17;0;0;3;14;30;1;
Nh-04_ext;22.08.2018;Ceta;6;92;1;0;145;8h55;25;25;24;25;25;25;25;25;25;24;24;25;0;1;7;16;45;6;
Nh-04_ext;22.08.2018;Ceta;6;92;1;0;145;9h11;24;24;23;22;22;23;23;24;23;22;22;22;0;0;6;17;40;5;
Nh-04_ext;22.08.2018;Ceta;6;92;1;0;145;9h22;20;21;21;20;20;19;19;20;20;21;21;21;0;0;4;16;39;5;
Nh-04_ext;22.08.2018;Ceta;6;92;1;0;145;9h36;23;24;24;23;23;22;21;23;23;23;22;23;0;0;4;19;32;5;
Nh-04_ext;22.08.2018;Ceta;6;92;1;0;145;9h49;19;19;19;19;17;19;19;18;19;18;18;18;0;0;4;14;30;3;
Nh-04;27.08.2018;Delta;24;53;1;0;46;9h00;4;7;8;8;8;8;8;8;7;7;7;7;0;0;5;2;15;9;
Nh-04;27.08.2018;Delta;24;53;1;0;46;9h14;13;13;13;13;13;13;13;14;14;14;14;14;0;0;5;8;17;3;
Nh-04;27.08.2018;Delta;24;53;1;0;46;9h25;16;16;16;16;15;15;15;15;15;15;15;16;0;1;3;12;17;1;
Nh-04;27.08.2018;Delta;24;53;1;0;46;9h38;19;19;18;18;17;17;17;17;17;17;17;17;0;3;1;13;21;4;
Nh-04;27.08.2018;Delta;24;53;1;0;46;9h47;20;21;20;20;20;19;19;19;19;19;19;19;0;1;4;14;21;1;
Nl-55;01.08.2018;Alpha;28;101;1;0;121;11h18;6;6;5;6;5;5;5;5;5;5;6;6;0;kA;kA;kA;kA;kA;
Nl-55;01.08.2018;Alpha;28;101;1;0;121;11h21;7;7;8;8;8;8;6;7;8;8;8;7;0;kA;kA;kA;kA;kA;
Nl-55;01.08.2018;Alpha;28;101;1;0;121;11h24;6;6;7;7;8;8;8;8;8;7;7;7;0;kA;kA;kA;kA;kA;
Nl-55;01.08.2018;Alpha;28;101;1;0;121;11h27;6;7;6;6;6;6;6;7;6;6;6;6;0;kA;kA;kA;kA;kA;
Nl-55;01.08.2018;Alpha;28;101;1;0;121;11h30;6;7;7;6;8;8;6;8;7;8;7;8;0;kA;0;kA;12;0;
Nl-55;06.08.2018;Alpha;35;76;1;0;56;11h40;12;12;12;12;12;12;12;12;12;12;12;12;0;kA;0;kA;12;1;
Nl-55;06.08.2018;Alpha;35;76;1;0;56;11h42;11;11;11;11;11;11;11;11;11;10;11;10;0;kA;0;kA;11;1;
Nl-55;06.08.2018;Alpha;35;76;1;0;56;11h44;10;10;10;10;10;10;10;10;10;10;10;10;0;kA;0;kA;11;1;
Nl-55;06.08.2018;Alpha;35;76;1;0;56;11h46;10;10;10;10;10;10;10;10;10;10;10;10;0;kA;0;kA;11;1;
Nl-55;06.08.2018;Alpha;35;76;1;0;56;11h48;10;10;10;11;11;11;11;11;10;10;10;10;0;kA;0;kA;11;1;
Nl-55;14.08.2018;Alpha;34;38;1;0;26;9h30;11;11;11;11;12;12;12;12;12;11;11;11;0;kA;0;kA;12;1;
Nl-55;14.08.2018;Alpha;34;38;1;0;26;9h32;11;11;11;11;11;11;11;11;11;11;11;11;0;kA;0;kA;11;0;
Nl-55;14.08.2018;Alpha;34;38;1;0;26;9h34;11;10;10;10;10;10;10;10;10;9;8;8;0;kA;0;kA;11;1;
Nl-55;14.08.2018;Alpha;34;38;1;0;26;9h36;8;8;8;8;8;8;8;8;8;8;8;8;0;kA;0;kA;11;3;
Nl-55;14.08.2018;Alpha;34;38;1;0;26;9h38;9;8;8;8;8;8;8;8;8;8;8;8;0;kA;0;kA;11;3;
Nl-55;17.08.2018;Beta;39;42;1;0;44;11h01;7;7;7;7;7;7;7;7;7;7;7;7;0;2;0;5;9;1;
Nl-55;17.08.2018;Beta;39;42;1;0;44;11h11;6;6;6;6;6;6;6;6;6;6;6;6;0;0;1;5;8;2;
Nl-55;17.08.2018;Beta;39;42;1;0;44;11h16;8;8;8;8;8;8;8;8;8;8;8;8;0;1;1;6;10;2;
Nl-55;19.08.2018;Beta;36;32;1;0;49;9h12;7;7;7;7;8;7;7;7;7;7;7;7;0;2;0;5;8;1;
Nl-55;19.08.2018;Beta;36;32;1;0;49;9h32;10;10;10;10;10;10;10;10;10;10;10;10;0;1;1;8;10;0;
Nl-55;19.08.2018;Beta;36;32;1;0;49;9h46;9;9;9;9;9;9;9;9;9;9;9;9;0;3;0;6;9;0;
Nl-55;19.08.2018;Beta;36;32;1;0;49;9h52;10;10;10;10;10;9;11;11;11;11;11;11;0;1;3;6;11;1;
Nl-55;19.08.2018;Beta;36;32;1;0;49;9h56;10;10;10;10;10;10;10;10;11;11;11;11;0;2;2;7;11;0;
Nl-55;22.08.2018;Beta;36;46;1;0;78;11h09;8;8;8;8;8;8;8;8;8;8;8;8;0;2;0;6;9;0;
Nl-55;22.08.2018;Beta;36;46;1;0;78;11h21;7;7;7;7;7;7;7;7;7;7;7;7;0;1;0;6;9;1;
Nl-55;22.08.2018;Beta;36;46;1;0;78;11h34;10;10;10;10;10;10;10;10;10;10;10;11;0;0;1;9;11;1;
Nl-55;22.08.2018;Beta;36;46;1;0;78;11h42;9;9;10;10;10;10;10;10;9;9;8;8;0;0;2;8;11;1;
Nl-55;22.08.2018;Beta;36;46;1;0;78;11h47;8;8;8;8;8;8;8;8;8;8;8;8;0;1;0;7;9;1;
Nl-55;27.08.2018;Ceta;39;81;1;0;152;11h15;11;11;12;12;13;13;13;12;13;16;16;16;0;0;2;10;20;1;
Nl-55;27.08.2018;Ceta;39;81;1;0;152;11h25;16;16;16;15;15;15;15;15;15;16;16;15;0;1;1;14;22;2;
Nl-55;27.08.2018;Ceta;39;81;1;0;152;11h35;15;15;15;15;15;15;14;14;15;15;15;15;0;0;2;13;22;2;
Nl-55;27.08.2018;Ceta;39;81;1;0;152;11h44;15;14;15;14;14;14;14;14;14;14;14;14;0;0;0;14;19;1;
Nl-55;27.08.2018;Ceta;39;81;1;0;152;11h50;12;12;13;13;13;13;13;13;13;13;13;13;0;0;1;12;19;0;
Ol-55_ext1;02.08.2018;Alpha;45;68;1;0;13;9h00;5;5;5;5;6;6;6;6;7;7;7;7;0;kA;kA;kA;kA;kA;
