"","ID_plot","Analysis","Long","Lat","Age","Size_Patch","ShDry_100","ShDry_500","ShDry_1000","ShDry_5000","Air_temp","Urb_clim","SVF","pH","C","N","S","P","K","Cu","Zn","Cd","Pb","Ni","Wc","Lf","KAK","C_N","C_S","Slope","Aspect","Cover_total","Cover_herb","Cover_moss","Cover_litter","Height_herbs","Seal_100","Seal_500","Seal_1000","Seal_5000","Pop_100","Pop_500","Pop_1000","Pop_5000","FAR_100","FAR_500","FAR_1000","FAR_5000","URBAN_100","URBAN_500","URBAN_1000","URBAN_5000","RdDen_100","RdDen_500","RdDen_1000","RdDen_5000","Road_Dist","RwDen_100","RwDen_500","RwDen_1000","RwDen_5000","Railw_Dist","metals","plots20","SR","SR.neo","Cover.neo","SR.exo","Cover.exo","SR.nat","Cover.nat","prop.neo"
"Brb_Nh_04","Brb_Nh_04",1,13.6899,52.33428,"N",17963.1,0.068434141,0.031701583,0.020546141,0.006489913,"",1,0.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,100,40,95,40,15,0,0.033038203,0.177931743,NA,0,0.011287456,0.060790131,NA,0,0.000458664,0.002470202,NA,0,3,3,NA,0,0,0,281.35578,1157.934879,0,0,0,29.23345,3214.218696,NA,FALSE,17,0,0,2,3,15,62.3,0
"Brb_Nl_02","Brb_Nl_02",1,13.66073,52.31619,"N",2415.18,0,0.008181386,0.005659532,0.004266236,"",NA,0.85,5.62,0.835326076,0.054049907,0.008019999,5.33,27.78,0.0554375,0.1073625,0.004295,0.01992125,0.01073,0.03,15,99.41152431,15.4664588,104.1484718,3,90,95,60,50,40,20,2.710347167,8.165297336,13.58094696,NA,0.979757109,1.249699833,5.113993293,NA,0.098289736,0.113681919,0.233459871,NA,3,3,3,NA,0.10307,5.14104,19.27531,411.32235,73.4184229,0,0,0,45.9466,1604.783004,0.09038375,FALSE,34,2,1.1,8,12.2,26,82.7,0.0384615384615385
"Brb_Nm_03","Brb_Nm_03",1,13.30965,52.64434,"N",111203.95,0.014437743,0.006042099,0.002299199,0.005321744,">8.0 - 8.5",1,0.94,6.095,0.121071368,0.012934594,0.001749874,19.55,23.012,0.0259325,0.0282375,0.000699,0.00447875,0.0073175,0.03,NA,18.19853568,9.353277206,70.11209679,2,180,85,40,40,35,20,6.844070446,10.74488865,13.56075343,NA,4.688861841,10.05117976,12.56763411,NA,0.03183307,0.065407591,0.127980091,NA,3,3,3,NA,0.41204,9.82773,35.09323,539.14933,66.48697593,0,0,1.06321,46.82299,2134.994839,0.03842775,FALSE,18,4,7.1,8,9.3,10,36.5,0.2
"Brb_Oh_01","Brb_Oh_01",1,13.00041,52.52896,"O",245535.01,0,0,0.003489793,0.009567774,"",NA,0.97,6.055,0.849138111,0.051013857,0.009160998,4.69,29.73,0.0417375,0.25525,0.002057625,0.01892625,0.0052625,0.05,17.9,33.38996813,16.67990971,92.67250824,0,NA,90,45,10,40,20,3.119005784,5.123067934,6.305831489,NA,0.211382119,0.08919478,2.034832048,NA,0.03781355,0.04141113,0.043882368,NA,3,3,3,NA,0.81504,7.16612,24.9729,281.86422,20.12205778,0,0,0,127.24358,1799.319217,0.067983875,FALSE,37,4,6.1,12,13.3,25,59.5,0.08
"Brb_Ol_03","Brb_Ol_03",1,13.38178,52.33962,"O",34365.37,0,0,0,0.001154698,"",1,0.78,4.53,0.598522365,0.046653215,0.005184025,47.28,15.644,0.0655375,0.93625,0.0073625,0.193,0.0411125,0.01,50.65,8.906282154,12.82023478,116.1611633,0,NA,95,50,20,60,15,0,2.69787647,3.032772318,NA,0,3.267042239,3.242017796,NA,0,0.021003757,0.024181182,NA,0,3,3,NA,0,3.5956,10.56852,296.39382,330.9616543,0,1.47145,5.79398,43.05168,624.1283847,0.3070125,FALSE,35,1,1,12,8.7,23,68.6,0.0217391304347826
"Brb_Ol_04","Brb_Ol_04",1,13.38759,52.33882,"O",59069.06,0,0,0,0.001230372,"",1,0.99,4.595,0.683991224,0.056341883,0.008130099,91.02,34.5,0.0768875,0.944375,0.0072775,0.0558625,0.03675,0.03,15.9,30.82170161,12.14008522,84.19349289,0,NA,98,60,40,40,10,8.639460818,8.495434027,8.767025335,NA,11.29099329,8.675726909,9.792179746,NA,0.064652962,0.102325025,0.090610086,NA,3,3,3,NA,1.64726,8.91416,21.75793,310.04745,29.86651629,0,0,3.36127,44.60613,772.834611,0.1767775,FALSE,29,2,2.1,7,9.2,22,71.6,0.0454545454545455
"Brb_Om_03","Brb_Om_03",1,13.17791,52.36926,"O",12681.63,0.035841287,0.010762879,0.003126442,0.006515512,">7.5 - 8.0",1,0.87,6.49,0.814353734,0.049105814,0.005363802,12,7.896,0.030125,0.028925,0.000668375,0.0079175,0.0035225,0.05,25.6,37.24801331,16.62640095,152.6023865,0,NA,60,50,15,30,20,2.869220758,2.726828848,4.127427765,NA,3.458506246,1.277600643,3.866108587,NA,0.021737797,0.012284531,0.026283089,NA,3,3,3,NA,0.24348,4.79658,14.71557,402.22308,137.8306023,0,0,0,20.59841,4017.021382,0.042233375,FALSE,31,2,1.1,9,4.5,22,52.8,0.0454545454545455
"Nh_02","Nh_02",1,13.64608,52.45572,"N",4017.61,0.193523063,0.126309553,0.066520908,0.012196097,">8.5 - 9.0",2,0.75,7.165,0.810447365,0.045408867,0.020407006,8.06,20.133,0.0484625,0.00989,0.00035525,0.00795,0.0064725,0.08,56.8,83.3406343,17.84219456,39.69965363,0,NA,98,50,20,75,15,20.78179205,13.06210162,15.29863804,15.91000695,0.072658836,1.349422558,9.048192457,13.37522222,0.026588364,0.05148955,0.079048881,0.098216041,3,3,3,3,0.48138,4.20157,17.68727,422.0965,46.75566634,0.83732,2.43896,4.44732,30.90313,22.86765845,0.06324025,FALSE,34,1,0.1,7,5.3,27,59.3,0.0185185185185185
"Nh_04","Nh_04",1,13.30888,52.40597,"N",15152.89,0,0.005267181,0.003886621,0.000802157,">9.0 - 9.5",2,0.91,7.49,1.314365268,0.070271309,0.0335226,12.27,152.48,0.1147375,0.0256575,0.00056875,0.01578625,0.00771875,0.06,82.2,242.9653853,18.71038532,39.21062851,0,NA,99,70,50,60,20,5.871348131,15.03303403,19.55246568,NA,0,16.95780119,27.17406904,NA,0,0.09949375,0.188697695,NA,1,3,3,NA,0,5.27928,26.30944,716.08823,265.7938861,0.77069,2.47529,4.49158,57.21087,110.6910717,0.13881125,TRUE,33,2,0.2,8,3.5,25,68.4,0.04
"Nh_05","Nh_05",1,13.40603,52.47541,"N",15798.4,0,0.035179828,0.024258637,0.003860109,">9.0 - 9.5",2,0.96,7.32,2.703062773,0.182491869,0.037704354,37.98,54.36,0.1696375,10.7125,0.079575,0.21915,0.149125,0.05,33.25,50.32456325,14.81276608,71.69349289,0,NA,99,95,2,20,10,18.46071787,15.62042232,33.07060591,56.11860548,0,23.98011791,47.72346151,88.49812841,0,0.115884246,0.317873672,0.811765222,1,3,3,6,0,5.18555,31.30449,1204.88124,251.7697547,0,0,1.33145,122.07407,1143.089757,0.6174875,TRUE,32,2,2.1,6,7.3,26,113.9,0.0384615384615385
