plot;Tvulg_pool;aphidGuild;survival;date;plant ;stade1;stade2;stade3;stade4;size;buds;c_leave;c_stalk;c_flower;young;adult;healthy;paras.;prop_paras;c_agg;c_disp;c_sgl;obs
Nh-04_ext;ext;Ia;maintain;01.08.2018;Alpha;0;1;0;0;kA;kA;0;0;1;kA;kA;kA;kA;kA;kA;kA;kA;1
Nh-04_ext;ext;Ia;maintain;06.08.2018;Beta;0;0;1;0;kA;kA;0;0;1;1;0;1;0;0;kA;kA;kA;4
Nh-04_ext;ext;Ia;maintain;11.08.2018;Ceta;0;0;1;0;106;84;0;0;1;1;0;1;0;0;1;0;1;3
Nh-04_ext;ext;Ia;maintain;17.08.2018;Ceta;0;0;1;0;106;84;1;0;1;1;0;1;0;0;1;1;0;0
Nh-04_ext;ext;Ia;maintain;22.08.2018;Ceta;0;0;0;1;106;84;1;1;0;1;0;1;0;0;1;1;1;0
Nh-04;in;II;appeared;27.08.2018;Delta;1;0;0;0;46;17;0;1;1;1;0;1;0;0;1;0;0;0
Nl-55;in;I;maintain;01.08.2018;Alpha;0;1;0;0;kA;kA;0;0;1;1;0;1;0;0;kA;kA;kA;0
Nl-55;in;I;maintain;06.08.2018;Alpha;0;0;1;0;kA;kA;0;0;1;0;1;1;0;0;kA;kA;kA;1
Nl-55;in;I;maintain;14.08.2018;Alpha;0;0;1;0;kA;kA;0;0;1;1;0;1;1;11,5;0;1;0;2
Nl-55;in;I;maintain;17.08.2018;Beta;0;0;1;0;75;11;0;0;1;1;0;1;0;0;1;1;0;1
Nl-55;in;I;maintain;19.08.2018;Beta;0;0;1;0;75;11;0;0;1;1;0;1;1;4;1;1;0;1
Nl-55;in;I;maintain;22.08.2018;Beta;0;0;1;0;75;11;0;0;1;1;0;1;1;10;1;1;0;2
Nl-55;in;I;maintain;27.08.2018;Ceta;0;1;0;1;53;11;0;0;1;1;0;1;0;0;1;1;0;0
Ol-55_ext1;ext;Ia;died;02.08.2018;Alpha;0;1;0;0;kA;kA;0;0;1;0;1;1;1;70;kA;kA;kA;1
Ol-55_ext1;ext;Ib;appeared;12.08.2018;Beta;0;1;0;0;kA;kA;0;0;1;1;0;1;0;0;0;0;1;0
Ol-55_ext1;ext;Ib;appeared;16.08.2018;Beta;0;1;0;0;kA;kA;0;0;1;1;0;1;0;0;0;0;1;1
Ol-55_ext1;ext;Ib;appeared;21.08.2018;Ceta;1;0;0;0;50;8;0;0;1;1;0;1;0;0;0;0;1;1
Ol-55_ext1;ext;Ib;appeared;24.08.2018;Ceta;0;1;0;0;50;8;0;0;1;1;0;1;0;0;0;1;0;0
Ol-55_ext2;in;II;unknown;25.08.2018;Delta;0;0;0;1;55;13;1;1;0;1;0;1;0;0;1;1;0;0
Ol-55_ext2;in;II;unknown;29.08.2018;Gamma;0;0;0;1;52;17;1;1;0;1;1;1;1;4,4;1;1;0;1
Nl-200_ext;ext;I;died;02.08.2018;Alpha;0;1;0;0;kA;kA;0;0;1;0;1;0;1;70;0;0;2;
Nl-200_ext;ext;I;died;07.08.2018;Alpha;0;1;0;0;kA;kA;0;0;1;0;1;0;1;100;0;0;1;
Nl-200_ext;ext;I;died;12.08.2018;Alpha;0;0;1;0;kA;kA;0;0;1;1;1;;1;80;1;0;0;
Nl-200_ext;ext;I;died;16.08.2018;Alpha;0;0;0;1;kA;kA;1;1;0;1;0;1;0;0;1;0;1;
Ol-11_ext;ext;I;maintain;03.08.2018;Alpha;0;1;0;0;72;24;1;0;0;0;1;1;1;10;kA;kA;1;
Ol-11_ext;ext;I;maintain;08.08.2018;Beta;0;0;1;0;kA;kA;1;0;1;1;0;1;1;15,9;1;0;0;
Ol-11_ext;ext;I;maintain;13.08.2018;Ceta;0;0;0;1;kA;kA;0;0;1;1;0;1;0;0;0;0;1;
Ol-11_ext;ext;I;maintain;18.08.2018;Alpha;0;0;0;1;72;24;1;0;1;1;0;1;1;10;0;1;0;
Ol-11_ext;ext;I;maintain;25.08.2018;Alpha;0;0;0;1;72;24;1;1;0;1;0;1;0;0;1;0;1;
Ol-11_ext;ext;I;maintain;31.08.2018;Delta;0;0;0;1;73;30;1;1;0;0;1;1;1;7,85;1;0;1;
Nh-10;in;I;died;03.08.2018;Alpha;1;0;0;0;kA;kA;0;1;1;1;0;1;0;0;0;0;1;
Nh-10;in;I;died;08.08.2018;Alpha;1;0;0;0;kA;kA;0;1;1;1;0;1;0;0;1;0;0;0
Nh-10;in;I;died;13.08.2018;Alpha;0;1;0;0;kA;kA;0;0;1;1;0;1;0;0;1;0;0;3
Nh-10_ext;ext;II;unknown;18.08.2018;Beta;0;1;0;0;49;22;0;0;1;1;0;1;0;0;1;0;1;1
Nh-10_ext;ext;II;unknown;23.08.2018;Beta;0;1;0;0;49;22;0;0;1;1;0;1;0;0;1;0;1;1
Nh-10_ext;ext;II;unknown;25.08.2018;Ceta;0;0;0;1;49;18;0;1;0;1;1;1;0;1,6;1;0;0;1
Nh-10_ext;ext;II;unknown;31.08.2018;Delta;0;0;0;1;47;19;0;1;0;0;1;0;1;70;1;0;0;0
Oh-02_ext;ext;I;maintain;04.08.2018;Alpha;0;1;0;0;kA;kA;0;0;1;1;0;1;0;0;1;0;0;0
Oh-02_ext;ext;I;maintain;09.08.2018;Alpha;0;1;0;0;kA;kA;1;0;1;1;0;1;0;0;0;1;1;1
Oh-02_ext;ext;I;maintain;15.08.2018;Beta;0;0;1;0;89;37;0;0;1;1;0;1;0;0;1;1;0;0
Oh-02_ext;ext;I;maintain;20.08.2018;Beta;0;0;1;0;89;37;1;0;1;1;1;1;0;0;1;1;1;0
Oh-02_ext;ext;I;maintain;26.08.2018;Ceta;0;1;0;1;58;20;0;0;1;1;0;1;0;0;1;1;0;0
Oh-02_ext;ext;I;maintain;01.09.2018;Delta;0;0;0;1;76;22;1;1;1;1;0;1;0;0;1;0;1;0
Om-02;in;I;died;04.08.2018;Alpha;1;0;0;0;37;5;0;1;1;1;1;1;1;30;1;0;0;0
Om-02;in;I;died;09.08.2018;Alpha;1;0;0;0;37;5;0;0;1;1;1;1;1;50;1;0;0;0
Om-02_ext;ext;II;appeared;20.08.2018;Beta;0;0;1;0;80;15;0;0;1;1;0;1;0;0;1;0;0;0
Om-02_ext;ext;II;appeared;23.08.2018;Beta;0;0;1;0;80;15;0;0;1;1;1;1;0;0;1;0;0;1
Om-02_ext;ext;II;appeared;26.08.2018;Beta;0;0;0;1;80;15;0;0;1;1;0;1;0;0;1;0;0;0
Om-02_ext;ext;II;appeared;01.09.2018;Ceta;1;0;0;0;67;21;0;0;1;1;0;1;0;0;1;0;0;0
Nh-05_ext;ext;I;died;05.08.2018;Alpha;0;1;0;0;kA;kA;0;0;1;1;0;1;1;20;1;0;0;
Nh-05_ext;ext;I;died;10.08.2018;Alpha;0;0;1;0;kA;kA;0;0;1;0;1;1;1;40;0;0;1;
Nh-05_ext;ext;I;died;14.08.2018;Alpha;0;0;1;0;kA;kA;0;0;1;0;1;0;1;60;0;0;1;
Nh-05_ext;ext;I;died;19.08.2018;Alpha;0;0;1;0;kA;kA;1;0;1;1;0;1;1;10;0;1;1;
