record name;time length(s);states;ow
A1;73;w-cl-w (9s)-k-w-a-w (9s)-k-w (7s)-cl-w-cl-w-str-w-k-k-w;
A2;125;exp (10s)-a-exp (28s)-str-w-a-a-cl (5s)-exp (44s)- a-w-a-exp (9s)-a-exp (9s);
A3;92;st (8s)-cl (4s)-a-cl (13s)-str-cl (20s)-k-cl (20s)-w (5s)-cl-k-cl (8s)-li-w-cl;
A4;108;li-w-a-cl-exp (19s)-cl (7s)-li-k-li (11s)-a-li (7s)-a-st-li (19s)-cl (6s)-w;
A5;74;w (7s)-a-w (10s)-cl (3s)-st-w-cl (4s)-li (3s)-w-str-w-str-cl-w-cl-w-a-str-w (15s);
A6;98;w-k-a-w-li-exp (37s)-a-exp (10s)-a-exp (33s)-a-li;
A107;175;cl (4s)-li-cl-w-cl (8s)-w-k-cl-a-cl-w-cl-w-str-w-str-w-a-w (3s)-str-a-a-exp-a-exp (7s)-str-str-exp-str-exp-str-exp (3s)-str-exp-a-exp (5s)-str-w-stf (4s)-str-wf-stf-w-str-w-str-li-exp (36s)-li-exp (4s)-st-exp (13s)-str-st-str-w-str-w-st-w (5s)-cl;
A108;103;cl (15s)-st-cl (3s)-st-a-st-cl-a-cl (3s)-st-cl (15s)-st-cl (5s)-str-cl-k-cl (6s)-k-cl (5s)-w;
A109;308;st-str-k-a-w-a-w (3s)-st (5s)-w-st (70s)-str-k-st (7s)-cl (4s)-a-st (3s)-w (10s)-k-w-str-w (3s)-str-a-k-a-str-w (5s)-k-str-st-str-w (7s)-a-w-st-w (8s)-str-w (3s)-a-w (10s)-ant-exp (8s)-stf (27s)-wf-stf (28s)-wf (7s)-stf (38s);
A110;219;li-cl (4s)-k-a-cl-a-cl (3s)-str-cl-str-w-st-w (3s)-cl (5s)-li (3s)-a-cl-str-cl-a-cl (6s)-w-st-w-cl (3s)-str-st (5s)-str-st-li (6s)-cl (4s)-a-cl-a-k-cl-str-st-cl-str-st (4s)-a-str-st-w (9s)-st-w (9s)-st-w-cl-st-li (7s)-cl-a-cl (6s)-a-st-a-st-a-cl (4s)-st (9s)-cl-a-a-k-st-cl-a-cl (4s)-li-cl (4s)-st (4s)-cl-k-cl-li-cl (4s)-w (3s)-cl-li (4s)-k-cl (4s)-w (3s)-cl;
A111;208;li (3s)-st-cl (17s)-a-w-st-w (4s)-cl-a-k-a-cl (3s)-st-li (4s)-cl-li (8s)-cl (10s)-a-cl (5s)-str-cl (4s)-st-cl-str-cl (6s)-li-cl (3s)-st-str-cl (4s)-st (6s)-cl (6s)-st (7s)-cl (4s)-st-cl (17s)-li-a-k-cl-k-w-st-cl-li-w-ant-str-st (10s)-str-st-w (3s)-a-w-k-cl-st (3s)-cl (3s)-k-cl-a-cl;
A112;65;wf-w-st-w-str-exp (5s)-str-exp (50s);
A113;237;w-wf-w-cl-w (7s)-st-str-w (4s)wf (4s)-w-str-a-exp (16s)-st-str-w-k-wf-str-wf-st-w-a-st-wf-stf (6s)-w-stf (14s)-w-a-w (3s)-st (5s)-wf (4s)-st-w-li (6s)-wf-stf-w (14s)-stf-wf-str-stf-w-st (4s)-w (10s)-st (7s)-w (13s)-st-exp (23s)-st-w;
