"","plot.simple","plant","date","%parasitism","survival","Maximum.%parasitism.per.plant","Seal_500"
"1","Nh-04","Alpha",2018-08-01,NA,0,NA,15.03303403
"2","Nh-04","Beta",2018-08-06,0,0,0,15.03303403
"3","Nh-04","Ceta",2018-08-11,0,1,0,15.03303403
"4","Nh-04","Ceta",2018-08-17,0,1,0,15.03303403
"5","Nh-04","Ceta",2018-08-22,0,1,0,15.03303403
"6","Nh-04","Delta",2018-08-27,0,NA,0,15.03303403
"7","Nh-05","Alpha",2018-08-05,20,0,60,15.62042232
"8","Nh-05","Alpha",2018-08-10,40,0,60,15.62042232
"9","Nh-05","Alpha",2018-08-14,60,0,60,15.62042232
"10","Nh-05","Alpha",2018-08-19,10,0,60,15.62042232
"11","Nh-10","Alpha",2018-08-03,0,0,0,38.45486093
"12","Nh-10","Alpha",2018-08-08,0,0,0,38.45486093
"13","Nh-10","Alpha",2018-08-13,0,0,0,38.45486093
"14","Nh-10","Beta",2018-08-18,0,1,0,38.45486093
"15","Nh-10","Beta",2018-08-23,0,1,0,38.45486093
"16","Nh-10","Ceta",2018-08-25,1.6,1,1.6,38.45486093
"17","Nh-10","Delta",2018-08-31,70,NA,70,38.45486093
"18","Nl-200","Alpha",2018-08-02,70,0,100,61.55944794
"19","Nl-200","Alpha",2018-08-07,100,0,100,61.55944794
"20","Nl-200","Alpha",2018-08-12,80,0,100,61.55944794
"21","Nl-200","Alpha",2018-08-16,0,0,100,61.55944794
"22","Nl-55","Alpha",2018-08-01,0,0,11.5,32.38531242
"23","Nl-55","Alpha",2018-08-06,0,0,11.5,32.38531242
"24","Nl-55","Alpha",2018-08-14,11.5,0,11.5,32.38531242
"25","Nl-55","Beta",2018-08-17,0,1,10,32.38531242
"26","Nl-55","Beta",2018-08-19,4,1,10,32.38531242
"27","Nl-55","Beta",2018-08-22,10,1,10,32.38531242
"28","Nl-55","Ceta",2018-08-27,0,NA,0,32.38531242
"29","Oh-02","Alpha",2018-08-04,0,1,0,40.50267815
"30","Oh-02","Alpha",2018-08-09,0,1,0,40.50267815
"31","Oh-02","Beta",2018-08-15,0,1,0,40.50267815
"32","Oh-02","Beta",2018-08-20,0,1,0,40.50267815
"33","Oh-02","Ceta",2018-08-26,0,1,0,40.50267815
"34","Oh-02","Delta",2018-09-01,0,NA,0,40.50267815
"35","Ol-11","Alpha",2018-08-03,10,1,10,1.495169104
"36","Ol-11","Alpha",2018-08-18,10,1,10,1.495169104
"37","Ol-11","Alpha",2018-08-25,0,1,10,1.495169104
"38","Ol-11","Beta",2018-08-08,15.9,0,15.9,1.495169104
"39","Ol-11","Ceta",2018-08-13,0,0,0,1.495169104
"40","Ol-11","Delta",2018-08-31,7.85,NA,7.85,1.495169104
"41","Ol-55","Alpha",2018-08-02,70,0,70,7.534940189
"42","Ol-55","Beta",2018-08-12,0,0,0,7.534940189
"43","Ol-55","Beta",2018-08-16,0,0,0,7.534940189
"44","Ol-55","Ceta",2018-08-21,0,0,0,7.534940189
"45","Ol-55","Ceta",2018-08-24,0,0,0,7.534940189
"46","Ol-55","Delta",2018-08-25,0,1,0,7.534940189
"47","Ol-55","Gamma",2018-08-29,4.4,NA,4.4,7.534940189
"48","Om-02","Alpha",2018-08-04,30,0,50,17.25246392
"49","Om-02","Alpha",2018-08-09,50,0,50,17.25246392
"50","Om-02","Beta",2018-08-20,0,1,0,17.25246392
"51","Om-02","Beta",2018-08-23,0,1,0,17.25246392
"52","Om-02","Beta",2018-08-26,0,1,0,17.25246392
"53","Om-02","Ceta",2018-09-01,0,NA,0,17.25246392
